class,trainset,testset,total
云,406,101,507
仓鼠,402,100,502
兔子,404,100,504
兰花,405,101,506
割草机,403,100,503
向日葵,404,100,504
城堡,408,101,509
大海,403,100,503
大象,404,100,504
女人,404,100,504
女孩,403,100,503
小婴儿,405,101,506
山,406,101,507
巴士,404,101,505
平原,402,100,502
床,403,100,503
恐龙,408,101,509
房屋,404,100,504
拖拉机,401,100,501
摩天大楼,402,100,502
摩托车,401,100,501
时钟,403,100,503
有轨电车,405,101,506
杯子,402,100,502
松树,407,101,508
松鼠,404,100,504
枫树,401,100,501
柳树,402,100,502
桌子,403,100,503
桥,403,100,503
梨,407,101,508
棕榈树,401,100,501
森林,405,101,506
椅子,404,100,504
橘子,405,101,506
橡树,403,100,503
比目鱼,405,101,506
毛虫,401,100,501
水族馆鱼类,401,100,501
水濑,404,100,504
沙发,404,100,504
浣熊,404,100,504
海狸,402,100,502
海豚,404,101,505
海豹,406,101,507
海龟,401,100,501
火箭,405,101,506
火车,402,100,502
灯,401,100,501
熊,404,100,504
牛,404,101,505
狐狸,406,101,507
狮子,403,100,503
狼,403,100,503
玫瑰,404,101,505
瓶子,404,101,505
甜椒,401,100,501
甲虫,403,100,503
电视,404,100,504
电话,403,100,503
男人,403,100,503
男孩,404,101,505
皮卡,405,101,506
盘子,404,101,505
碗,401,100,501
箱子,405,101,506
罂粟,402,100,502
老虎,401,100,501
老鼠,402,100,502
自行车,408,102,510
臭鼬,405,101,506
苹果,408,101,509
蘑菇,403,100,503
蛇,405,101,506
蜗牛,402,100,502
蜘蛛,401,100,501
蜜蜂,401,100,501
蜥蜴,410,102,512
蝴蝶,402,100,502
螃蟹,405,101,506
蟑螂,402,100,502
蠕虫,404,101,505
衣柜,402,100,502
袋鼠,402,100,502
豪猪,403,100,503
豹,404,100,504
负鼠,407,101,508
郁金香,403,100,503
金属罐,403,100,503
键盘,401,100,501
马路,403,100,503
骆驼,407,101,508
鲨鱼,401,100,501
鲸鱼,402,100,502
鳄鱼,405,101,506
鳐,402,100,502
鳟鱼,401,100,501
黑猩猩,401,100,501
鼩鼱,404,101,505
龙虾,405,101,506
